# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
-1128609.97645,-647375.26568,-973927.39085,  -0.00000,  -0.00000,  -0.00001,1951364.83471,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-472688770.99182,   0.00000
-2208523.58337,-1257512.13113,-1942125.79704,  -0.00001,  -0.00000,  -0.00003,3872625.18389,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-470767510.64264,   0.00000
-3317082.11354,-1896293.91983,-2910324.20324,  -0.00001,  -0.00000,  -0.00004,5806785.91294,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-468833349.91358,   0.00000
-4385537.75114,-2517888.75458,-3878522.60944,  -0.00002,  -0.00000,  -0.00005,7723938.23490,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-466916197.59163,   0.00000
-5453993.38875,-3139483.58932,-4840992.03098,  -0.00002,  -0.00000,  -0.00006,9632512.12737,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-465007623.69915,   0.00000
-6510991.05705,-3772536.39338,-5797732.46787,  -0.00002,  -0.00000,  -0.00008,11528364.58358,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-463111771.24295,   0.00000
-7539343.80210,-4376944.27417,-6754472.90477,  -0.00003,  -0.00001,  -0.00009,13411516.36183,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-461228619.46470,   0.00000
-8576290.02412,-5001403.60124,-7711213.34166,  -0.00003,  -0.00001,  -0.00010,15299076.25807,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-459341059.56846,   0.00000
-9593184.79986,-5617269.45134,-8662224.79390,  -0.00003,  -0.00001,  -0.00011,17169677.39697,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-457470458.42956,   0.00000
-10590028.12931,-6224541.82445,-9613236.24614,  -0.00004,  -0.00001,  -0.00012,19032038.17418,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-455608097.65235,   0.00000
-11566820.01249,-6823220.72059,-10558518.71373,  -0.00004,  -0.00001,  -0.00014,20877539.42655,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-453762596.39998,   0.00000
-12543611.89566,-7421899.61673,-11498072.19666,  -0.00004,  -0.00001,  -0.00015,22714452.61740,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-451925683.20913,   0.00000
-13500352.33256,-8011985.03589,-12443354.66425,  -0.00005,  -0.00001,  -0.00016,24551945.38834,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-450088190.43819,   0.00000
-14445634.80014,-8613528.42436,-13377179.16254,  -0.00005,  -0.00001,  -0.00017,26368316.55183,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-448271819.27470,   0.00000
-15370865.82145,-9206478.33584,-14316732.64547,  -0.00005,  -0.00001,  -0.00019,28185416.74673,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-446454719.07980,   0.00000
-16296096.84276,-9799428.24733,-15244828.15911,  -0.00006,  -0.00001,  -0.00020,29985221.21584,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-444654914.61069,   0.00000
-17201276.41778,-10383784.68184,-16178652.65739,  -0.00006,  -0.00001,  -0.00021,31785829.38308,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-442854306.44345,   0.00000
-18086404.54652,-10959547.63937,-17106748.17102,  -0.00006,  -0.00001,  -0.00022,33569828.72443,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-441070307.10210,   0.00000
-18971532.67526,-11535310.59690,-18029114.70000,  -0.00006,  -0.00002,  -0.00023,35345252.17486,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-439294883.65167,   0.00000
-19825151.38842,-12113938.04676,-18951481.22898,  -0.00007,  -0.00002,  -0.00025,37109289.79656,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-437530846.02997,   0.00000
