# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
1186591.51587,524838.55510,-74161.96974,   0.00000,   0.00000,  -0.00000,1037875.69152,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-473602260.13501,   0.00000
2333249.66342,1032562.80948,-142619.17258,   0.00001,   0.00000,  -0.00000,2040106.32195,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-472600029.50458,   0.00000
3459941.12681,1531729.91352,-216781.14232,   0.00001,   0.00000,  -0.00000,3026330.45073,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-471613805.37580,   0.00000
4575223.05639,2042306.55135,-285238.34516,   0.00002,   0.00000,  -0.00000,4000469.57045,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-470639666.25608,   0.00000
5670538.30180,2544326.03884,-359400.31490,   0.00002,   0.00000,  -0.00000,4958669.89501,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-469681465.93152,   0.00000
6717363.02855,3009264.54145,-427857.51774,   0.00002,   0.00000,  -0.00001,5874819.39555,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-468765316.43098,   0.00000
7752778.22148,3485612.57787,-502019.48748,   0.00003,   0.00000,  -0.00001,6781441.92703,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-467858693.89950,   0.00000
8756817.19645,3964812.99774,-570476.69032,   0.00003,   0.00000,  -0.00001,7658901.86922,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-466981233.95731,   0.00000
9752299.02106,4424046.73345,-638933.89316,   0.00004,   0.00000,  -0.00001,8529924.30375,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-466110211.52278,   0.00000
10716404.62771,4886132.85261,-713095.86290,   0.00004,   0.00000,  -0.00001,9374399.33083,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-465265736.49570,   0.00000
11660543.55019,5339661.82142,-781553.06574,   0.00004,   0.00000,  -0.00001,10200459.82418,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-464439676.00235,   0.00000
12564749.10435,5776076.48951,-850010.26858,   0.00005,   0.00000,  -0.00001,10992205.42657,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-463647930.39996,   0.00000
13448987.97435,6203934.00726,-918467.47142,   0.00005,   0.00000,  -0.00001,11766825.75428,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-462873310.07225,   0.00000
14313260.16019,6623234.37464,-986924.67426,   0.00005,   0.00000,  -0.00001,12524321.70724,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-462115814.11929,   0.00000
15166122.81222,7053944.27584,-1055381.87710,   0.00006,   0.00000,  -0.00001,13271394.74673,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-461368741.07980,   0.00000
15970494.94558,7447573.19216,-1123839.07994,   0.00006,   0.00000,  -0.00001,13977505.78858,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-460662630.03795,   0.00000
16763457.54512,7852611.64229,-1198001.04968,   0.00006,   0.00000,  -0.00002,14674662.38566,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-459965473.44087,   0.00000
17536453.46051,8249092.94206,-1266458.25252,   0.00006,   0.00000,  -0.00002,15353392.11333,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-459286743.71320,   0.00000
18278073.15793,8648426.62529,-1334915.45535,   0.00007,   0.00000,  -0.00002,16004770.06147,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-458635365.76506,   0.00000
18991169.02083,9019236.47400,-1397667.89129,   0.00007,   0.00000,  -0.00002,16630866.17222,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-458009269.65431,   0.00000
19692855.34993,9401455.85651,-1466125.09413,   0.00007,   0.00000,  -0.00002,17248274.75921,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-457391861.06732,   0.00000
20366017.84451,9755151.40451,-1534582.29697,   0.00007,   0.00000,  -0.00002,17841774.08965,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-456798361.73688,   0.00000
