# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
1061711.64463,3323019.56307,452261.58369,  -0.00000,   0.00001,   0.00001,3042239.91291,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-471597895.91362,   0.00000
2151000.21510,6673616.05198,910038.55254,  -0.00000,   0.00003,   0.00001,6106841.57913,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-468533294.24740,   0.00000
3232015.70782,10004908.69280,1362300.13623,  -0.00000,   0.00004,   0.00002,9152905.90031,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-465487229.92622,   0.00000
4351638.89670,13352747.48912,1809046.33475,  -0.00001,   0.00005,   0.00002,12204271.26738,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-462435864.55915,   0.00000
5490565.93367,16708859.36319,2261307.91844,  -0.00001,   0.00007,   0.00003,15262101.49314,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-459378034.33339,   0.00000
6629492.97064,20064971.23727,2713569.50213,  -0.00001,   0.00008,   0.00004,18320017.47693,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-456320118.34960,   0.00000
7807027.70378,23437629.26684,3160315.70065,  -0.00001,   0.00009,   0.00004,21383561.72866,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-453256574.09787,   0.00000
8995593.20725,26799256.52608,3607061.89917,  -0.00001,   0.00010,   0.00005,24435186.19059,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-450204949.63594,   0.00000
10192431.78847,30180187.63340,4053808.09769,  -0.00001,   0.00012,   0.00005,27503090.15024,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-447137045.67629,   0.00000
11427878.06586,33577664.89623,4500554.29621,  -0.00001,   0.00013,   0.00006,30579396.39235,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-444060739.43418,   0.00000
12674355.11359,36964111.38872,4947300.49473,  -0.00001,   0.00014,   0.00006,33643957.56536,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-440996178.26117,   0.00000
13929105.23906,40369861.72929,5388531.30808,  -0.00002,   0.00016,   0.00007,36722451.78721,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-437917684.03932,   0.00000
15214189.98296,43772854.37729,5829762.12144,  -0.00002,   0.00017,   0.00008,39793519.74578,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-434846616.08075,   0.00000
16499274.72685,47175847.02528,6276508.31996,  -0.00002,   0.00018,   0.00008,42867272.11515,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-431772863.71138,   0.00000
17822967.16691,50595385.82877,6712223.74815,  -0.00002,   0.00020,   0.00009,45945110.38519,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-428695025.44134,   0.00000
19146659.60697,54014924.63226,7153454.56150,  -0.00002,   0.00021,   0.00009,49025677.12938,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-425614458.69715,   0.00000
20500686.66545,57431705.74317,7594685.37485,  -0.00002,   0.00022,   0.00010,52099206.44358,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-422540929.38295,   0.00000
21862986.80168,60867790.70216,8030400.80304,  -0.00002,   0.00023,   0.00010,55186850.27483,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-419453285.55170,   0.00000
23263894.63408,64320421.81666,8466116.23123,  -0.00002,   0.00025,   0.00011,58283851.21436,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-416356284.61217,   0.00000
24656529.38873,67753749.08307,8901831.65941,  -0.00002,   0.00026,   0.00012,61365059.04440,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-413275076.78213,   0.00000
26068467.99146,71195349.42723,9337547.08760,  -0.00002,   0.00027,   0.00012,64451210.01689,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-410188925.80964,   0.00000
27499710.44228,74645222.84914,9767747.13062,  -0.00002,   0.00029,   0.00013,67539973.39635,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-407100162.43018,   0.00000
