# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474640135.82653,   0.00000
121276.12058,-32537.49577,-70990.89985,   0.00000,  -0.00000,  -0.00000,186632.60943,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474453503.21710,   0.00000
251426.10365,-44369.31241,-147897.70803,   0.00000,  -0.00000,  -0.00000,376776.48672,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474263359.33981,   0.00000
402281.76584,-47327.26657,-224804.51620,   0.00000,  -0.00000,  -0.00000,578550.42751,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-474061585.39902,   0.00000
532431.74891,-59159.08321,-301711.32438,   0.00000,  -0.00000,  -0.00000,769136.33920,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-473870999.48733,   0.00000
703993.09022,-53243.17489,-378618.13255,   0.00000,  -0.00000,  -0.00000,982842.30926,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-473657293.51727,   0.00000
872596.47737,-14789.77080,-455524.94073,   0.00000,  -0.00000,  -0.00001,1181971.98208,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-473458163.84445,   0.00000
1053031.68117,11831.81664,-532431.74891,   0.00000,  -0.00000,  -0.00001,1395351.97616,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-473244783.85037,   0.00000
1263046.42657,68032.94569,-609338.55708,   0.00001,  -0.00000,  -0.00001,1621069.52962,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-473019066.29691,   0.00000
1473061.17197,124234.07474,-692161.27358,   0.00001,  -0.00000,  -0.00001,1854616.02923,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-472785519.79730,   0.00000
1691949.77985,201140.88292,-774983.99007,   0.00001,  -0.00000,  -0.00001,2089170.16884,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-472550965.65769,   0.00000
1910838.38774,278047.69109,-851890.79825,   0.00001,  -0.00000,  -0.00001,2318288.90720,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-472321846.91933,   0.00000
2150432.67474,363828.36175,-934713.51474,   0.00001,  -0.00000,  -0.00001,2568153.31167,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-472071982.51486,   0.00000
2398900.82423,470314.71153,-1023452.13956,   0.00001,  -0.00000,  -0.00001,2826666.86915,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-471813468.95738,   0.00000
2668074.65285,585674.92380,-1106274.85606,   0.00001,  -0.00000,  -0.00001,3093629.78102,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-471546506.04551,   0.00000
2937248.48146,701035.13606,-1189097.57255,   0.00001,  -0.00000,  -0.00002,3361788.75395,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-471278347.07258,   0.00000
3215296.17256,837101.02745,-1277836.19737,   0.00001,  -0.00000,  -0.00002,3639496.65747,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-471000639.16906,   0.00000
3514049.54277,982040.78131,-1366574.82219,   0.00001,  -0.00000,  -0.00002,3932504.10815,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-470707631.71838,   0.00000
3812802.91299,1126980.53518,-1455313.44701,   0.00002,  -0.00000,  -0.00002,4226630.83315,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-470413504.99338,   0.00000
4120430.14569,1292625.96818,-1544052.07183,   0.00002,  -0.00000,  -0.00002,4524924.51587,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-470115211.31066,   0.00000
4428057.37839,1458271.40117,-1632790.69664,   0.00002,  -0.00000,  -0.00002,4824412.35440,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-469815723.47213,   0.00000
4765264.15270,1653496.37577,-1721529.32146,   0.00002,  -0.00000,  -0.00002,5143290.32017,   0.00000,274640135.82653,   0.00000,   0.00000,   0.00000,-469496845.50636,   0.00000
